Лаб. № пробы,Наименование выработки,"Глубина отбора образца, м",Наименование грунта,№ ИГЭ/РГЭ,rs,r,rd,n,e,W,Sr,WL,WP,Ip,IL,Ir,Е50,E,Мю,Cu,Цикл промораживания,Kd,Cud
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,2.06,1.71,35.7,0.56,20.3,0.97,32.0,18.5,13.5,0.13,4.4,11.4,11.4,0.27,0.058,0,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.99,1.59,40.2,0.67,25.2,1.0,32.0,18.5,13.5,0.5,4.4,6.8,7.1,0.36,0.046,3,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.94,1.51,43.2,0.76,28.4,0.99,32.0,18.5,13.5,0.73,4.4,4.2,4.6,0.36,0.032,5,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.91,1.47,44.8,0.81,30.0,0.98,32.0,18.5,13.5,0.85,4.4,4.2,4.5,0.46,0.03,10,0.84,0.024
1-1,1,0.4,Суглинок полутвёрдый,1a_t,2.66,1.9,1.46,45.2,0.83,30.5,0.98,32.0,18.5,13.5,0.89,4.4,4.1,4.7,0.45,0.028,24,0.84,0.024
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.97,1.57,42.2,0.73,25.9,0.96,33.2,23.6,9.6,0.24,,14.0,14.0,0.34,0.078,0,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.94,1.51,44.4,0.8,28.7,0.97,33.2,23.6,9.6,0.53,,10.7,12.5,0.31,0.058,3,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.92,1.48,45.5,0.83,29.9,0.97,33.2,23.6,9.6,0.66,,3.9,4.3,0.36,0.018,5,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.92,1.46,46.0,0.85,31.3,0.99,33.2,23.6,9.6,0.8,,3.9,4.1,0.42,0.019,10,0.71,0.01
1-10,1,13.8,Суглинок полутвёрдый,58г_2б,2.71,1.91,1.45,46.5,0.87,31.5,0.98,33.2,23.6,9.6,0.82,,3.3,3.6,0.39,0.016,24,0.71,0.01
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-11,1,14.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-12,1,16.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-13,1,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
1-14,1,23.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
1-15,1,25.8,Глина твёрдая,58_3б,2.73,1.89,1.43,47.7,0.91,32.4,0.97,57.1,33.0,24.1,-0.03,,,,,,0,0.75,0.018
1-15,1,25.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,0.75,0.018
1-15,1,25.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,0.75,0.018
1-15,1,25.8,Глина твёрдая,58_3б,2.73,1.75,1.2,56.1,1.28,46.0,0.98,57.1,33.0,24.1,0.54,,,,,,10,0.75,0.018
